title,author,yearPublished,pageCount,genre,themes,moods,pace,grRating,myRating
Ghachar Ghochar,Vivek Shanbhag,2013,128,"fiction, contemporary","family, class, gender, violence, abuse","dark, reflective, tense",slow,3.9,4.25
The Lumberjacks Dove,GennaRose Nethercott,2018,96,"fiction, poetry","sacrifice, longing, memory, storytelling, grief","challenging, reflective",slow,4.6,5
Frankenstein in Baghdad,Ahmed Saadawi,2013,288,"fiction, fantasy, horror","truth, lies, good, evil, power, family, friendship, religion, war","challenging, mysterious",medium,3.6,4
Homesick for Another World,Ottessa Moshfegh,2017,294,"fiction, contemporary, short stories","grief, addition, relationships, friendship, sexuality, gender","dark, funny",medium,3.7,3.5
Her body and Other Parties,Carmen Maria Machado,2017,241,"literary fiction, contemporary, horror, short stories","lgbtq, gender, womanhood, crime, motherhood, abuse","dark, mysterious, reflective",medium,3.9,4.5
This is Pleasure,Mary Gaitskill,2019,96,"fiction, contemporary","abuse, patriarchy, gender, relationships, friendships","challenging, reflective",fast,3.5,3.5
The Bell Jar,Sylvia Plath,1963,294,"literary fiction, classics, historical","mental illness, loneliness, gender, womanhood, class","dark, emotional, reflective",medium,4,4.5
Verity,Colleen Hoover,2018,336,"fiction, mystery, thriller","abuse, grief, death, violence, mental illness","dark, mysterious, tense",fast,4.4,4.25
The Whole Singing Ocean,Jessica Moore,2020,128,"nonfiction, poetry","abuse, nature, religion, memory, trauma",reflective,medium,4.7,5
In Watermelon Sugar,Richard Brutigan,1968,144,"literary fiction, speculative fiction","idealism, capitalism, utopia, dystopia, solitude",reflective,slow,3.8,4
Drive Your Plow over the Bones of the Dead,Olga Tokarczuk,2009,268,"literary fiction, mystery, thriller","nature, madness, religion, grief, death, sanity","chellenging, dark, reflective",medium,4,5
Normal People,Sally Rooney,2018,273,"literary fiction, contemporary","relationships, friendship, communication, mental illness, class, abuse, love","emotional, reflective",medium,3.8,5
Because the Sun,Sarah Burgoyne,2021,112,"nonfiction, poetry","love, death, relationships, abuse, violence","reflective, dark",medium,4.2,5
Bluets,Maggie Nelson,2009,99,"nonfiction, essays, memoir, poetry","love, loss, grief, solitude","emotional, reflective",medium,4.2,4.5
Annihilation,Jeff VanderMeer,2014,195,"fiction, science fiction, speculative fiction","nature, power, mistrust, science, secrecy, isolation","challenging, dark, tense",medium,3.7,5
Little Fires Everywhere,Celeste Ng,2017,338,"literary fiction, contemporary","family, class, motherhood","emotional, reflective",medium,4.1,4.75
The Actors Life,Jenna Fischer,2017,252,"nonfiction, biography, memoir","career, advice, growing up, art",funny,fast,4.2,4.74
Big Little Lies,Liane Moriarty,2014,512,"fiction, contemporary, mystery","abuse, deceit, relationships, friendship, infidelity, family, motherhood","mysterious, tense",medium,4.3,5
It Ends with Us,Colleen Hoover,2016,384,"fiction, contemporary, romance","abuse, relationships, family, jealousy","emotional, sad",medium,4.4,3
Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,2021,102,"fiction, horror","abuse, lgbtq, violence, mental illness, obsession","dark, tense",fast,3.75,3.1
A Little Life,Hanya Yanagihara,2015,814,"literary fiction, contemporary","abuse, lgbtq, disability, mental illness, friendship, relationships, chronic pain, growing up, suffering, recovery","dark, emotional, sad",slow,4.3,3.5
Tender is the Flesh,Agustina Bazterrica,2017,224,"fiction, horror, science fiction, dystopian","consumption, greed, morality","dark, reflective",medium,3.9,4.75
